source,npi,entity_type,organization_name,first_name,last_name,taxonomy,city,state,postal_code
NPPES API,1265574263,NPI-2,1304 WONDER WORLD CENTER FOR CANCER CARE LTD,,,,SAN MARCOS,TX,786667532
NPPES API,1043583008,NPI-2,1ST SOUTH TEXAS PAIN MANAGEMENT,,,"Radiology, Diagnostic Radiology",HOUSTON,TX,77055
NPPES API,1679804405,NPI-2,"A&J GLOBAL SERVICES, INC.",,,"Radiology, Diagnostic Radiology",HOUSTON,TX,770602018
NPPES API,1184882300,NPI-2,A.I.M. MEDICAL DIAGNOSTIC NETWORK,,,"Radiology, Diagnostic Radiology",HOUSTON,TX,770771021
NPPES API,1639918097,NPI-2,A1 MOBILE IMAGING LLC,,,"Radiology, Diagnostic Radiology",GEORGE WEST,TX,78022
NPPES API,1295122885,NPI-1,,SOLOMON,ABAY,"Radiology, Diagnostic Radiology",AUSTIN,TX,787276431
NPPES API,1538150180,NPI-1,,SUHNY,ABBARA,"Radiology, Diagnostic Radiology",JACKSONVILLE,FL,322241865
NPPES API,1386938371,NPI-1,,MIRNA,ABBOUD,,WEBSTER,TX,775984219
NPPES API,1497702542,NPI-1,,ADEL,ABDALLA,"Radiology, Diagnostic Radiology",ORLANDO,FL,328366110
NPPES API,1215076344,NPI-1,,AHMED,ABDEL AAL,"Radiology, Vascular & Interventional Radiology",HOUSTON,TX,77030
NPPES API,1225791338,NPI-1,,ABEER,ABDELHAFEZ,"Radiology, Diagnostic Radiology",HOUSTON,TX,770301501
NPPES API,1629737770,NPI-1,,WALEED,ABDELLATIF,"Radiology, Diagnostic Radiology",HOUSTON,TX,770301608
NPPES API,1982006920,NPI-1,,MOHAMED,ABDELSALAM,"Radiology, Vascular & Interventional Radiology",HOUSTON,TX,770304009
NPPES API,1073196317,NPI-1,,FOUAD,ABDOLE,"Radiology, Diagnostic Radiology",HOUSTON,TX,770303411
NPPES API,1902199474,NPI-1,,DAVOOD,ABDOLLAHIAN,"Radiology, Vascular & Interventional Radiology",HOUSTON,TX,770301502
NPPES API,1568774065,NPI-1,,OSAMA,ABDUL-RAHIM,"Radiology, Vascular & Interventional Radiology",MCKINNEY,TX,750702902
NPPES API,1790718203,NPI-1,,RAMZI,ABDULRAHMAN,,LUBBOCK,TX,794153364
NPPES API,1619965100,NPI-1,,CREED,ABELL,"Radiology, Diagnostic Radiology",COLUMBUS,TX,789343016
NPPES API,1528148715,NPI-2,ABOUDIB ADVANCED IMAGING INC,,,"Radiology, Diagnostic Radiology",SOUTHLAKE,TX,76092
NPPES API,1457642019,NPI-1,,OMAR,ABOUSOUD,"Radiology, Diagnostic Radiology",PAOLI,PA,193011763
NPPES API,1538118005,NPI-1,,MITCHELL,ABOUSSIE,"Radiology, Diagnostic Radiology",DALLAS,TX,752301900
